Price,Mileage,Horsepower,Num_Features,Fuel_Type,Car_Type
35795,40,437,5,Petrol,SUV
20860,20,316,3,Hybrid,Sedan
58158,40,258,8,Hybrid,SUV
31284,20,185,4,Electric,Sports
26265,25,381,1,Petrol,Sedan
36850,35,378,1,Electric,SUV
57194,20,313,3,Petrol,SUV
41962,40,222,9,Electric,SUV
36023,25,285,7,Hybrid,SUV
21685,20,219,2,Petrol,Sedan
20769,30,345,9,Hybrid,Sedan
22433,35,418,2,Hybrid,Sedan
25311,20,198,3,Electric,Sedan
57819,25,465,2,Petrol,Luxury
59188,30,279,3,Hybrid,SUV
37568,25,154,6,Electric,Sports
39769,25,176,9,Petrol,Sports
48693,30,309,9,Petrol,SUV
26396,25,298,7,Hybrid,Sedan
47480,30,413,3,Petrol,SUV
45658,20,379,4,Hybrid,SUV
38942,30,349,6,Petrol,SUV
38431,30,199,5,Electric,Sports
22747,35,216,2,Hybrid,Sedan
20189,30,449,6,Hybrid,Sedan
39118,30,207,3,Petrol,SUV
55773,20,408,8,Petrol,Luxury
21899,35,491,2,Hybrid,Sedan
21267,40,475,1,Petrol,Sedan
51551,20,279,9,Electric,SUV
31394,20,364,3,Petrol,SUV
23556,40,321,1,Electric,Sedan
23890,30,407,7,Electric,Sedan
50740,25,251,5,Electric,SUV
34502,35,358,5,Electric,SUV
41777,25,440,1,Electric,SUV
30627,40,435,9,Petrol,SUV
28792,20,265,7,Electric,Sedan
28433,20,413,8,Petrol,Sedan
31016,35,299,9,Electric,SUV
43897,20,449,6,Hybrid,SUV
22612,20,185,5,Electric,Sedan
43483,35,482,6,Hybrid,SUV
37159,35,436,2,Electric,SUV
34541,40,452,4,Electric,SUV
55920,20,460,3,Electric,Luxury
46531,20,357,7,Hybrid,SUV
21585,40,255,9,Hybrid,Sedan
23943,30,307,5,Electric,Sedan
43939,30,270,6,Petrol,SUV
39457,30,204,2,Electric,SUV
21021,40,161,3,Hybrid,Sedan
31653,20,294,3,Electric,SUV
33417,40,285,9,Hybrid,SUV
29692,40,152,7,Hybrid,Sedan
26873,30,293,8,Hybrid,Sedan
25675,25,179,9,Electric,Sedan
20161,20,386,6,Hybrid,Sedan
57065,30,428,4,Hybrid,Luxury
46557,25,497,1,Electric,SUV
53763,25,264,8,Hybrid,SUV
52606,35,253,7,Electric,SUV
31534,20,267,2,Hybrid,SUV
49127,25,154,8,Petrol,Sports
45851,30,397,5,Petrol,SUV
21016,35,470,7,Hybrid,Sedan
44253,20,270,4,Petrol,SUV
44276,40,435,5,Electric,SUV
43247,30,298,8,Petrol,SUV
44300,25,233,1,Hybrid,SUV
28529,25,380,1,Hybrid,Sedan
37262,30,437,4,Electric,SUV
29268,25,310,3,Hybrid,Sedan
41271,35,421,2,Electric,SUV
32185,20,187,3,Petrol,Sports
41243,35,375,1,Petrol,SUV
59099,25,291,1,Electric,SUV
28571,40,441,6,Electric,Sedan
59976,20,300,5,Hybrid,SUV
58044,20,263,8,Petrol,SUV
22568,30,386,2,Electric,Sedan
22027,30,215,4,Petrol,Sedan
22695,40,490,8,Electric,Sedan
25258,20,407,6,Petrol,Sedan
42002,40,398,1,Hybrid,SUV
59504,30,480,4,Petrol,Luxury
53159,30,472,1,Petrol,Luxury
33986,20,329,2,Petrol,SUV
32666,35,339,5,Petrol,SUV
58660,25,303,8,Petrol,SUV
23561,30,345,8,Hybrid,Sedan
46854,30,460,3,Electric,SUV
58952,35,411,4,Petrol,Luxury
42662,35,292,6,Hybrid,SUV
28392,40,491,3,Petrol,Sedan
50535,40,465,2,Petrol,Luxury
33067,25,250,6,Electric,SUV
43599,25,393,5,Petrol,SUV
55222,20,161,5,Hybrid,Sports
31837,40,388,5,Hybrid,SUV
34039,30,198,5,Electric,Sports
50818,40,191,3,Petrol,Sports
39115,30,315,7,Hybrid,SUV
30965,35,231,6,Petrol,SUV
44538,40,440,4,Petrol,SUV
25056,35,307,2,Petrol,Sedan
52482,25,365,9,Electric,Luxury
28110,25,307,1,Petrol,Sedan
33773,20,283,4,Hybrid,SUV
47266,40,216,1,Petrol,SUV
37412,35,485,6,Hybrid,SUV
53270,30,156,4,Petrol,Sports
26910,25,163,5,Hybrid,Sedan
45446,25,222,5,Hybrid,SUV
20206,30,312,9,Petrol,Sedan
41518,35,215,1,Petrol,SUV
42361,35,496,2,Hybrid,SUV
43419,40,279,6,Electric,SUV
42403,40,355,5,Petrol,SUV
38141,20,425,7,Electric,SUV
34820,25,405,3,Petrol,SUV
26374,40,415,3,Petrol,Sedan
21678,35,174,2,Petrol,Sedan
53827,30,430,3,Petrol,Luxury
36198,35,402,1,Electric,SUV
29914,25,459,5,Petrol,Sedan
47890,35,438,5,Hybrid,SUV
42299,20,313,7,Hybrid,SUV
22693,25,244,4,Electric,Sedan
49467,30,419,3,Petrol,SUV
49723,20,470,1,Hybrid,SUV
23627,25,259,8,Electric,Sedan
45939,30,485,3,Petrol,SUV
41834,20,459,2,Hybrid,SUV
38047,20,387,4,Hybrid,SUV
46105,25,174,3,Electric,Sports
30230,40,290,1,Petrol,SUV
35707,20,266,3,Petrol,SUV
41976,20,174,2,Hybrid,Sports
43776,30,228,8,Hybrid,SUV
50080,35,217,6,Hybrid,SUV
21306,25,322,9,Petrol,Sedan
26776,25,161,8,Electric,Sedan
47251,40,437,3,Electric,SUV
29474,40,277,5,Petrol,Sedan
41959,25,245,7,Electric,SUV
25530,40,241,5,Hybrid,Sedan
49320,30,290,8,Electric,SUV
23748,25,180,5,Electric,Sedan
51968,40,483,1,Electric,Luxury
52562,25,169,5,Hybrid,Sports
33545,35,295,4,Petrol,SUV
20663,20,465,6,Hybrid,Sedan
54766,25,309,3,Petrol,SUV
27994,20,498,5,Petrol,Sedan
48021,40,192,2,Petrol,Sports
50303,20,403,6,Electric,Luxury
23304,25,279,6,Electric,Sedan
59353,35,209,5,Petrol,SUV
37675,40,300,6,Petrol,SUV
43938,25,436,7,Electric,SUV
43664,40,154,5,Hybrid,Sports
21636,30,415,1,Petrol,Sedan
40080,20,494,8,Hybrid,SUV
47728,30,279,4,Electric,SUV
46736,25,416,9,Petrol,SUV
48673,35,327,6,Hybrid,SUV
57505,40,402,1,Hybrid,Luxury
20854,20,205,3,Hybrid,Sedan
44548,40,232,3,Electric,SUV
58623,25,248,4,Electric,SUV
27392,40,298,6,Hybrid,Sedan
41556,20,478,7,Hybrid,SUV
58559,25,305,4,Electric,SUV
46309,40,339,6,Hybrid,SUV
41919,35,412,1,Hybrid,SUV
24931,25,229,8,Electric,Sedan
52970,25,401,7,Hybrid,Luxury
32688,35,246,9,Hybrid,SUV
45342,30,409,3,Hybrid,SUV
57157,20,409,2,Electric,Luxury
22327,30,252,1,Hybrid,Sedan
20197,40,189,3,Electric,Sedan
43509,35,422,5,Electric,SUV
54698,30,250,2,Petrol,SUV
35087,25,457,3,Petrol,SUV
42671,40,370,4,Hybrid,SUV
45184,40,457,7,Electric,SUV
47848,30,273,3,Petrol,SUV
40666,30,380,9,Hybrid,SUV
35708,35,327,8,Petrol,SUV
46370,20,212,4,Petrol,SUV
22811,30,265,1,Electric,Sedan
26546,30,340,1,Electric,Sedan
54754,25,211,1,Petrol,SUV
50206,40,405,1,Petrol,Luxury
31411,20,156,8,Electric,Sports
22911,25,304,3,Hybrid,Sedan
21734,35,241,6,Electric,Sedan
38227,35,163,3,Petrol,Sports
28680,30,378,5,Hybrid,Sedan
39360,30,235,7,Petrol,SUV
38343,35,282,2,Hybrid,SUV
25759,30,332,6,Petrol,Sedan
43078,20,211,6,Hybrid,SUV
55153,30,368,3,Hybrid,Luxury
31111,40,395,6,Petrol,SUV
57504,30,379,5,Hybrid,Luxury
21802,25,228,2,Electric,Sedan
28155,20,298,9,Petrol,Sedan
28120,25,287,8,Electric,Sedan
59384,25,463,3,Petrol,Luxury
41918,40,214,8,Hybrid,SUV
40445,20,162,9,Hybrid,Sports
50306,20,362,3,Hybrid,Luxury
36646,20,391,3,Petrol,SUV
51065,20,362,2,Electric,Luxury
45199,20,330,8,Electric,SUV
36371,40,487,1,Petrol,SUV
31835,30,322,8,Petrol,SUV
22049,25,309,7,Electric,Sedan
51616,20,313,7,Electric,SUV
58191,30,337,3,Electric,SUV
40932,30,340,1,Electric,SUV
49855,25,457,4,Petrol,SUV
27158,40,405,9,Petrol,Sedan
27400,35,332,5,Hybrid,Sedan
35151,35,266,1,Electric,SUV
21154,30,431,5,Hybrid,Sedan
24499,25,345,8,Petrol,Sedan
26295,35,183,8,Petrol,Sedan
32183,30,201,5,Hybrid,SUV
49299,40,261,9,Electric,SUV
32874,35,401,1,Electric,SUV
52711,30,231,4,Electric,SUV
25539,30,381,3,Electric,Sedan
22557,20,376,2,Hybrid,Sedan
58360,40,382,8,Hybrid,Luxury
36482,20,370,7,Petrol,SUV
22200,25,191,9,Electric,Sedan
22961,20,170,2,Electric,Sedan
41357,20,191,4,Electric,Sports
31969,35,262,6,Hybrid,SUV
22869,30,254,3,Electric,Sedan
48643,40,341,8,Hybrid,SUV
44736,20,166,3,Electric,Sports
58467,40,269,2,Electric,SUV
43328,20,278,3,Petrol,SUV
45876,25,279,6,Electric,SUV
41295,20,209,2,Electric,SUV
23987,35,197,8,Petrol,Sedan
42399,30,178,1,Hybrid,Sports
53986,25,246,7,Hybrid,SUV
40880,20,159,2,Electric,Sports
24735,40,391,6,Hybrid,Sedan
24555,25,463,2,Electric,Sedan
39830,25,381,2,Petrol,SUV
37429,20,426,8,Petrol,SUV
26893,25,433,2,Electric,Sedan
34373,40,352,7,Petrol,SUV
23436,25,396,3,Petrol,Sedan
28754,40,439,8,Electric,Sedan
30677,20,413,7,Electric,SUV
25895,30,363,8,Petrol,Sedan
39738,25,349,7,Hybrid,SUV
50746,30,228,6,Hybrid,SUV
52352,40,492,7,Electric,Luxury
59790,25,493,5,Electric,Luxury
25600,35,322,7,Hybrid,Sedan
49124,30,218,1,Petrol,SUV
47643,25,236,1,Hybrid,SUV
29007,30,250,9,Hybrid,Sedan
57410,25,157,5,Hybrid,Sports
28208,20,482,5,Hybrid,Sedan
38589,30,349,3,Electric,SUV
37453,35,236,5,Electric,SUV
56212,35,192,3,Petrol,Sports
52635,40,258,9,Petrol,SUV
53828,25,301,9,Petrol,SUV
38711,30,166,6,Petrol,Sports
23420,40,282,1,Hybrid,Sedan
51216,30,297,7,Electric,SUV
20301,25,426,7,Electric,Sedan
20699,35,381,4,Petrol,Sedan
20190,20,463,8,Petrol,Sedan
